date,year_quarter,year,quarter,gdp_index,gdp_growth_qoq_pct,education_spending_index,public_investment_index,business_investment_index,productivity_index,real_wage_index,unemployment_rate,inflation_rate,policy_rate,consumer_confidence,exports_index,policy_outcome_index,price_level_index,nominal_wage_index,crisis_shock,education_spending_with_na,constant_one
1993-01-01,1993-Q1,1993,1,100.0,0.4,100.0,100.0,100.0,100.0,100.0,9.5,2.2,4.0,100.0,100.0,100.0,100.0,100.0,0,100.0,1
1993-04-01,1993-Q2,1993,2,100.02379283233375,0.02379283233376346,100.42985577961002,99.96664132933961,96.4938818592061,91.35305938701005,96.24539373206206,7.456036734573631,1.4780605552004251,3.8238439169866667,94.17374656688857,100.35196552404452,85.22521811312022,100.3695151388001,101.65635595283331,0,100.42985577961002,1
1993-07-01,1993-Q3,1993,3,100.08146833961621,0.05766178790993806,101.01232075013903,100.10381642923892,93.21733782223662,84.6027852894453,92.69532871778007,5.802640044203943,0.7753999917128119,3.4219659689357838,88.75694415201333,100.10779021245703,75.66451012536356,100.56408144181721,102.51697554196956,0,101.01232075013903,1
1993-10-01,1993-Q4,1993,4,99.88326317204567,-0.19804382455496422,101.23153695580214,100.21411698947583,90.9491380874987,80.16917532919683,88.51612036371989,4.758618987667849,0.20246117317465318,3.034463617811179,86.80577337062323,100.36937544120204,69.25227202367722,100.61498224658706,103.67161055521025,0,101.23153695580214,1
1994-01-01,1994-Q1,1994,1,100.16797506070476,0.2850446407309427,101.46467928881071,100.73806367003986,89.30524073843998,76.94608483505374,84.9051294031332,4.0,-0.2713403948515309,2.605760453853434,85.38343691818888,101.30149800963285,65.24543117429977,100.54672997406014,103.80739257021075,0,101.46467928881071,1
1994-04-01,1994-Q2,1994,2,100.11554159035174,-0.05234554289557426,102.41473605508605,102.56947533457507,88.86859240579537,74.93232864628081,81.65648046792728,4.0,0.02026276801773219,2.178319646294719,83.34504865839683,101.32414424425265,62.8063901838121,100.55182336172115,104.32773332086626,0,102.41473605508605,1
1994-07-01,1994-Q3,1994,3,100.25689381368083,0.1411890912077027,102.35727646853054,103.37275438535717,89.5418145014767,73.28495477051628,78.8491786442255,4.0,-0.2715246458977701,2.1413430790688084,81.84975554477306,102.09433170712171,61.45578145396192,100.48356761613948,104.72327831782134,0,102.35727646853054,1
1994-10-01,1994-Q4,1994,4,99.91310699904918,-0.34290591056067454,102.61721186186892,103.48142624807559,89.17832367986232,72.07375748603215,76.09427063069072,4.0,0.02249695518305528,1.6843422714989422,81.27760078417735,101.6666001015831,60.885998570056636,100.48921905193271,105.3223898202338,0,102.61721186186892,1
1995-01-01,1995-Q1,1995,1,99.84665717376434,-0.06650761574801534,102.91161392209256,103.65546956824599,89.62198197208099,71.3697653290924,73.23850771624258,4.0,-0.17810093964276458,1.4078668130103187,81.31028398678009,101.7322221190991,60.74822732119702,100.44447599108992,105.51480801240318,0,102.91161392209256,1
1995-04-01,1995-Q2,1995,2,99.89858428229253,0.05200685731304265,103.0851596880957,103.297264790792,89.77948375809709,70.26013295625556,71.4058161971845,4.0,-0.8,1.348064974065497,80.03258125126762,101.53172013122513,60.475137380558294,100.24358703910774,105.58752524949426,0,103.0851596880957,1
1995-07-01,1995-Q3,1995,3,100.30389445536339,0.40572163858251503,103.50647039520688,104.28602815777519,91.08913137902022,69.9737085335515,69.86146194077236,4.0,-0.8,0.9795213209866314,81.10555118543424,101.67124529245802,60.65543230695341,100.04309986502952,105.52539087891786,0,103.50647039520688,1
1995-10-01,1995-Q4,1995,4,100.2515328839637,-0.0522029295911276,103.88780518296603,104.80648887209274,92.2078389983722,69.54252612673706,68.24887466977594,4.0,-0.5906518664541787,1.0382744312340235,81.20556079561936,101.87412784766663,60.36271909782217,99.89537325587666,105.98028111545173,0,103.88780518296603,1
